         200
         0.00000000         0.00000000         1.00000000
         1.00000000         0.00000000         0.00000000
         0.97094184         0.23931566         0.00000000
         0.88545603         0.46472317         0.00000000
         0.74851078         0.66312265         0.00000000
         0.56806475         0.82298386         0.00000000
         0.35460490         0.93501621         0.00000000
         0.12053668         0.99270886         0.00000000
        -0.12053668         0.99270886         0.00000000
        -0.35460490         0.93501621         0.00000000
        -0.56806475         0.82298386         0.00000000
        -0.74851078         0.66312265         0.00000000
        -0.88545603         0.46472317         0.00000000
        -0.97094184         0.23931566         0.00000000
        -1.00000000         0.00000000         0.00000000
        -0.97094184        -0.23931566         0.00000000
        -0.88545603        -0.46472317         0.00000000
        -0.74851078        -0.66312265         0.00000000
        -0.56806475        -0.82298386         0.00000000
        -0.35460490        -0.93501621         0.00000000
        -0.12053668        -0.99270886         0.00000000
         0.12053668        -0.99270886         0.00000000
         0.35460490        -0.93501621         0.00000000
         0.56806475        -0.82298386         0.00000000
         0.74851078        -0.66312265         0.00000000
         0.88545603        -0.46472317         0.00000000
         0.97094184        -0.23931566         0.00000000
         0.00000000         0.00000000        -1.00000000
        -0.45559928        -0.74974012         0.47991568
        -0.89650375         0.35527503         0.26468980
        -0.80735856         0.53528839        -0.24827084
         0.25031814         0.63937342        -0.72700924
        -0.79542482        -0.35720009         0.48959929
         0.28501886        -0.84699267        -0.44873998
         0.45294145        -0.85808730        -0.24193017
         0.91104174        -0.35135221         0.21576501
         0.52013379        -0.18459804         0.83389717
         0.62994003         0.40940985        -0.65996903
         0.53304213        -0.51210058        -0.67351252
        -0.60055721         0.43311298        -0.67211920
         0.48197874         0.09474259         0.87104553
         0.52682745        -0.46427965         0.71196717
         0.05707507         0.24685968        -0.96736896
        -0.06954625         0.96857244         0.23881114
        -0.23895849         0.12951040         0.96235430
        -0.57055569         0.40227136         0.71599162
        -0.59293467         0.76118314         0.26273310
        -0.78949034         0.38721111        -0.47620639
        -0.18457572        -0.57857907         0.79446721
        -0.18279739        -0.15955164         0.97011769
         0.05252447        -0.72415674         0.68763226
         0.97227603         0.10610406        -0.20837775
         0.70166272         0.00180545         0.71250695
         0.31118655        -0.62589693         0.71513355
        -0.39523831        -0.34491479         0.85136384
         0.22960760         0.80906212        -0.54101640
         0.74586385         0.44927615         0.49177039
         0.45187017        -0.02684731        -0.89167964
        -0.44489524         0.78160506        -0.43722042
         0.55838901         0.67824811         0.47768325
        -0.23556119        -0.94095278        -0.24314356
        -0.12641205        -0.75279164        -0.64600670
         0.79955387         0.37627882        -0.46811101
         0.21569255         0.19049703         0.95769912
        -0.44464391         0.86998832        -0.21310133
         0.95133412        -0.11060043        -0.28763008
         0.50789577        -0.27997491        -0.81465083
         0.89196509         0.13158785        -0.43253094
         0.44012415         0.87269467        -0.21141133
         0.66244346        -0.06016931        -0.74669152
         0.05486231         0.86905771         0.49165931
         0.28587309        -0.08059973         0.95487189
        -0.76647663         0.38907507         0.51101291
        -0.61345458         0.60159224         0.51162505
        -0.52163458        -0.71756250        -0.46152088
         0.19332516         0.94509727         0.26347023
         0.32500711        -0.36900702         0.87074918
         0.33302781        -0.67564052        -0.65772516
        -0.80401129        -0.33063048        -0.49421585
        -0.41723266         0.76643395         0.48836040
         0.56064689         0.49318695         0.66516292
        -0.10865843         0.54650587         0.83037627
         0.09493382        -0.51689452         0.85076880
         0.63873297         0.73123699        -0.23940049
         0.84073663        -0.32338083        -0.43426570
         0.17480437        -0.95024347         0.25783843
         0.65219879         0.25976637         0.71215034
        -0.97098035        -0.11705176         0.20855695
        -0.89749807        -0.11282032         0.42634356
        -0.16388910         0.74165088         0.65045702
        -0.90457851        -0.34537986         0.24990080
        -0.70275205         0.15727907         0.69383198
         0.92078203        -0.32953763        -0.20872326
        -0.97323805         0.03990737        -0.22630748
        -0.38269567         0.59542537         0.70640820
         0.55467820         0.19717650        -0.80836481
        -0.62230462        -0.35778955         0.69622093
        -0.96119559         0.11976691         0.24851342
        -0.31724572         0.37931496         0.86918080
